Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-07-31,2023-07-31,3885,CKE*NUTZ DEEP II MARSH,Dining,26.00,
2023-07-29,2023-07-31,3885,CHICK-FIL-A #04372,Dining,12.27,
2023-07-29,2023-07-31,3885,CULVERS OF OSHKOSH,Dining,10.91,
2023-07-28,2023-07-29,3885,CULVERS OF ROSEMOUNT,Dining,9.41,
2023-07-28,2023-07-29,3885,SAMSCLUB #4738,Merchandise,69.02,
2023-07-26,2023-07-28,3885,KYOTO SUSHI,Dining,24.00,
2023-07-27,2023-07-28,3885,STOCK AND BARREL EAGAN,Merchandise,45.00,
2023-07-27,2023-07-27,3885,Asics,Merchandise,68.00,
2023-07-27,2023-07-27,3885,Asics,Merchandise,225.00,
2023-07-25,2023-07-26,3885,DISCORD* NITROMONTHLY,Internet,9.99,
2023-07-25,2023-07-26,3885,AMZN Mktp US*T63YN6G71,Merchandise,81.39,
2023-07-24,2023-07-25,3885,BURGER KING #11033 Q07,Dining,19.26,
2023-07-21,2023-07-22,3885,AMZN Mktp US*T91IQ20B3,Merchandise,92.29,
2023-07-19,2023-07-21,3885,RAISING CANES 0391,Dining,10.51,
2023-07-19,2023-07-20,3885,AMZN MKTP US*LH2HX98W3,Merchandise,401.93,
2023-07-18,2023-07-19,3885,AMZN MKTP US*FY6TI06V3,Merchandise,775.69,
2023-07-15,2023-07-15,3885,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,863.26
2023-07-13,2023-07-14,3885,BURGER KING #11033 Q07,Dining,19.26,
2023-07-12,2023-07-14,3885,PUNCH NEAPOLITAN PIZZA,Dining,9.91,
2023-07-12,2023-07-13,3885,AMZN Mktp US*DJ30V94W3,Merchandise,76.18,
2023-07-11,2023-07-12,3885,PALMETTO STATE ARMORY,Merchandise,126.40,
2023-07-11,2023-07-12,3885,PALMETTO STATE ARMORY,Merchandise,340.65,
2023-07-10,2023-07-11,3885,TARGET        00023903,Merchandise,4.49,
2023-07-08,2023-07-10,3885,CUB FOODS,Merchandise,27.25,
2023-07-06,2023-07-08,3885,RAISING CANES 0391,Dining,19.45,
2023-07-06,2023-07-07,3885,BURGER KING #11033 Q07,Dining,19.24,
2023-07-05,2023-07-07,3885,KYOTO SUSHI,Dining,24.41,
2023-07-04,2023-07-05,3885,2MINNESOTA WLD,Dining,45.00,
2023-07-04,2023-07-04,3885,STEAMGAMES.COM 4259522,Internet,25.00,
2023-07-02,2023-07-03,3885,AMZN Mktp US*RC7EG5S73,Merchandise,30.95,
2023-06-30,2023-07-01,3885,Amazon.com*JB53E6E53,Merchandise,32.96,

